FirstName, LastName, Department, State, EmployeeID, Office, UserPrincipalName, SamAccountName, Password
Tony, Stark, Avengers, NY, 1537534, AvengersCompound, t.stark@domain.local, t.stark, P@ssw0rd
Bruce, Banner, Avengers, NY, 1537535, AvengersCompound, b.banner@domain.local, b.banner, P@ssw0rd
Thor, Odinson, Avengers, NY, 1537536, AvengersCompound, t.odinson@domain.local, t.odinson, P@ssw0rd
Steven, Rogers, Avengers, NY, 1537537, AvengersCompound, s.rogers@domain.local, s.rogers, P@ssw0rd
Natasha, Romanoff, Avengers, NY, 1537538, AvengersCompound, n.romanoff@domain.local, n.romanoff, P@ssw0rd
James, Rhodes, Avengers, NY, 1537539, AvengersCompound, j.rhodes@domain.local, j.rhodes, P@ssw0rd
Scott, Lang, Avengers, NY, 1537540, AvengersCompound, s.lang@domain.local, s.lang, P@ssw0rd
Wade, Wilson, Xmen, NY, 1537541, Xmansion, w.wilson@domain.local, w.wilson, P@ssw0rd
Peter, Parker, Avengers, NY, 1537542, AvengersCompound, p.parker@domain.local, p.parker, P@ssw0rd
Logan, Howlett, Xmen, NY, 1537543, Xmansion, l.howlett@domain.local, l.howlett, P@ssw0rd
Stephen, Strange, Avengers, NY, 1537544, AvengersCompound, s.strange@domain.local, s.strange, P@ssw0rd
Carol, Danvers, Avengers, NY, 1537545, AvengersCompound, c.danvers@domain.local, c.danvers, P@ssw0rd
Clint, Barton, Avengers, NY, 1537546, AvengersCompound, c.barton@domain.local, c.barton, P@ssw0rd
